match_number,home_team,away_team,neutral
89,Germany,France,1
90,Switzerland,Netherlands,1
91,Brazil,Ecuador,1
92,Mexico,England,0
93,Colombia,Spain,1
94,United States,Belgium,0
95,Argentina,Turkey,1
96,Canada,Portugal,0
