match_number,home_team,away_team,neutral
73,South Korea,Switzerland,1
74,Germany,Scotland,1
75,Netherlands,Morocco,1
76,Brazil,Japan,1
77,France,Australia,1
78,Ecuador,Senegal,1
79,Mexico,Ivory Coast,0
80,England,DR Congo,1
81,United States,Austria,0
82,Belgium,Czech Republic,1
83,Colombia,Croatia,1
84,Spain,Algeria,1
85,Canada,Egypt,0
86,Argentina,Uruguay,1
87,Portugal,Norway,1
88,Turkey,Iran,1
